fold;classifier;error_rate;f_measure;precision;recall
0;LR;0.4545454545454546;0.3774677156054351;0.4757666143380429;0.37136878723391425
0;PG;0.5252525252525253;0.49694968178484916;0.5705792506482321;0.5688507470095725
0;KNN;0.44781144781144777;0.5602199272907219;0.5597130647130647;0.5967612047376408
0;BG;0.6868686868686869;0.047692307692307694;0.031313131313131314;0.1
0;ENSEMBLE;0.962962962962963;0.01841713583123018;0.00983125458547322;0.14821428571428572
1;LR;0.430976430976431;0.3555274588205929;0.3904238740844631;0.34476444038411397
1;PG;0.5218855218855218;0.40440396839966175;0.42743753322700695;0.509385173623943
1;KNN;0.46464646464646464;0.5053839857167658;0.5158386382709137;0.5496011183834382
1;BG;0.6902356902356903;0.04730077120822622;0.030976430976430974;0.1
1;ENSEMBLE;0.9797979797979798;0.010847711927981996;0.005852262874978325;0.07619047619047618
2;LR;0.43434343434343436;0.36704963186609463;0.457593618369203;0.3390711535403143
2;PG;0.46464646464646464;0.44360135064873596;0.4940735435588378;0.5171102525638132
2;KNN;0.4444444444444444;0.5477377231373769;0.5877108367822654;0.5315443794333004
2;BG;0.6902356902356903;0.04730077120822622;0.030976430976430974;0.1
2;ENSEMBLE;0.9730639730639731;0.013856942496493687;0.007445608380338436;0.10158730158730159
3;LR;0.4949494949494949;0.33944025373909564;0.48539093508322695;0.3199443824450602
3;PG;0.505050505050505;0.45757460485558105;0.4422709593589208;0.5487122610530039
3;KNN;0.5387205387205387;0.46587282135076247;0.48078162293501786;0.47134906161878243
3;BG;0.6868686868686869;0.047692307692307694;0.031313131313131314;0.1
3;ENSEMBLE;0.962962962962963;0.02195004029008864;0.011894067003556056;0.14444444444444443
4;LR;0.43581081081081086;0.34911598073391337;0.3808477643832121;0.3392439255647245
4;PG;0.4831081081081081;0.5119413688722843;0.599379907448873;0.5456607232165184
4;KNN;0.40878378378378377;0.5571826761260905;0.5943280771894545;0.5429428860191239
4;BG;0.6858108108108107;0.04781491002570694;0.03141891891891892;0.1
4;ENSEMBLE;0.9695945945945946;0.016715407110974294;0.009017269004806835;0.11587301587301586
